,product,purchased_with
218,Big Pleasures (Maple Kush),CBN:THC Strawberry Melon 4:1
219,Big Pleasures (Peanut Butter Breath),Banana OG (Banana Kush x OG Kush) Pre-Roll
220,Big Pleasures (Ultra Sour),Lychee Bubble Tea 510 Thread Cartridge
221,Big Red Pre-Roll,Big Red Pre-Roll
222,Big Red | 20x0.5g,5 Loco [Distillate/Kief] | 5x0.5g
223,Big Terp Energy (Alien Cookies F2 x Miracle 15) Pre-Roll,Redees Cold Creek Kush (MK Ultra x Chemdawg 91) Pre-Roll
224,Big Terp Energy (Cake #9) Pre-Roll,BC Organic Blue Dream (Blueberry x Haze) Pre-Roll
225,Big Terp Energy Pre-Roll,Heavy Hitter Flower & Diamonds Infused Pre-Roll
226,Billy's Pheno,Billy's Pheno
227,Billy's Pheno (Animal Face Cookies),CrunchBerries (Triple OG x Blueberry)
228,Billy's Pheno (Animal Face Cookies) | 3.1%,Tiger Blood Distillate Infused Pre-Roll
229,Billy's Pheno (Truffle Fuel) Pre-Rolls,Galactic Burger Old School Hash
230,Billy's Pheno (White Truffle Jet Fuel),CrunchBerries (Triple OG x Blueberry)
231,Billy's Pheno Pre-Rolls,Billy's Pheno (Truffle Fuel) Pre-Rolls
232,Billy's Pheno: Bernscotti (Biscotti x Jealousy),R.C.S. Collective: Grand Daddy (Mendo Purps x Skunk x Afghan)
233,Biscotti Gushers (F1 Durban Poison x Gelato 41 x OG Kush x Triangle Kush) Pre-Roll,Tropic Thunder Dartz Pre-Roll
234,Biscotti Gushers Pre-Roll,950 Series Honey Grapefruit (Grapefruit Cookies x (Pugsbreath F2 x Mendobreath F4) Pre-Roll
235,Black Cherry,Tiger Blood THC Gummy | 2pcs
236,Black Cherry Funk Live Resin,Cured Resin (GMO x Jet Fuel Gelato)
237,Black Cherry Hash Rosin Cola,Black Cherry Hash Rosin Cola
238,Black Cherry Hash Rosin Cola | 355ml,CBN:THC Strawberry Melon 4:1 | 5pcs
239,Black Cherry Punch,Dia De Los Muertos (Motor Breath x Project 4516)
240,Black Cherry Punch (Purple Punch x Black Cherry Pie),Triple Berry Supreme (BCP)
241,Black Cherry Punch x Jack Herer Shatter,GMO Tropical Reign (GMO Crescendo x Super Tropical)
242,Black Cherry Rapid Seltzer,Blueberry Pomegranate Rapid Seltzer
243,Black Garlic (GMO x Sour Dubb),Lazer Wolf (Animal Sorbet x Trop Souffle)
244,Black Hash,Black Hash | 3.5g
245,Black Hash | 3.5g,Black Hash | 3.5g
246,Black Lime Live Resin,Organic Marrakech Gold
247,Black Mamba (Mint Chocolate Chip x The Cube),MR Sommelier Selection Indica (Grape Krush)
248,Black Mamba Pre-Roll,Blue Razzleberry Kush Infused Pre-Roll
249,Black Mamba [Distillate] | 1g,Tiger Blood [Distillate] | 3x0.5g
250,Black Mountain Side Live Hash Rosin | 1g,Watermelon Splash [Distillate] | 3x0.5g
251,Black Widow CBD (Black Widow X Quimiotipo CBD) Pre-Roll,Jean Guy (White Widow) Pre-Roll
252,Black Widow CBD Pre-Roll,Jean Guy (White Widow) Pre-Roll
253,Blackberry Cheesecake (Black Cherry Soda x Cheese),Purple Monkey 510 Thread Cartridge
254,Blackberry Cheesecake (Blackberry Soda x Cheese) Pre-Roll,Sunny Daze Sativa (Mandarin Cookies) Pre-Roll
255,Blackberry Cheesecake Pre-Roll,Sunny Daze Sativa (Mandarin Cookies) Pre-Roll
256,Blackberry Gelato (Blackberry Kush x Jet Fuel Gelato),Gasberry Pie (Wedding Cake x Jet Fuel)
257,Blackberry Lemonade 1:1:1 CBN/CBD/THC,Pink Lemonade Gummies
258,Blackberry Lemonade 1:1:1 CBN/CBD/THC | 5pcs,FEELZ: Full Tilt - Blue Raspberry Lemonade THC + THCV | 5pcs
259,Blazer - GT 8000 Big Shot Torch,Tangerine Dream Pre-Roll
260,Blazy Susan - Cones,OCB - Virgin Unbleached Cones
261,Blazy Susan - Cotton Buds,Afghan Black Live Resin 510 Thread Cartridge
262,Blazy Susan 1 1/4 Rolling Papers,Organic Death Bubba (Death Star x Bubba Kush)
263,Blazy Susan Deluxe Rolling Kit,Balanced Mango Haze 510 Thread Cartridge
264,Blazy Susan Perforated Filter Tips,Cali Kush (Purps X LA Confidential) Pre-Roll
265,Blend 14 Pre-Roll,"Diesel Pocket Puffs (Wappa, Space Cake & Ghost Train Haze) | 4x0.5g"
266,Blend 14 | 3x0.5g,"Diesel Pocket Puffs (Wappa, Space Cake & Ghost Train Haze) | 4x0.5g"
267,Blend19 Pre-Roll,Puffco - The Peak Pro
268,Blood Orange 5:1 Gummies,Puffco - The Peak Pro
269,Blood Orange Original Sour Squeezys,Pomegranate 4:1 CBD/THC
270,Blood Orange Yuzu & Vanilla Sparkling Juice,Blood Orange Yuzu & Vanilla Sparkling Juice
271,Blue Cheese,Pineapple God (Black Cherry Punch x God Bud)
272,Blue Cheese (Blueberry x UK Cheese),Cherry Bomb (Mamas Chili Bomb x Headspace)
273,Blue Dream (Blueberry x Haze) Pre-Roll,Blue Dream (Blueberry x Haze) Pre-Roll
274,Blue Dream (Blueberry x Haze) | 1x0.5g,Cherry Boat (11 Week Pink Kush S1) | 2x1g
